source;target;pre_link;post_link
12925;2682;1;0
8295;2682;1;0
12939;2682;1;0
54376;2682;1;0
2688;2682;1;0
60719;2682;1;0
54391;2682;1;0
54392;2682;1;0
12924;2682;1;0
69531;2682;1;0
12936;2682;1;0
12948;2682;1;0
12932;2682;1;0
12937;2682;1;0
54393;2684;1;1
54389;2684;1;0
54365;2684;1;1
2703;2684;1;0
2698;2684;1;0
12923;2684;1;0
69278;2684;1;0
12930;2684;1;0
69531;2684;1;0
62161;2684;1;0
12933;2684;0;1
63112;2684;1;0
2687;2684;0;1
2705;2684;1;0
12938;2684;1;0
12943;2684;1;0
22692;2684;0;1
69531;2686;1;1
2693;2686;1;0
22692;2686;1;1
12924;2686;1;1
69278;2686;0;1
116508;2686;0;1
73991;2686;1;1
70492;2686;1;1
58364;2686;0;1
12932;2686;1;1
54393;2686;0;1
12925;2686;1;1
12948;2686;0;1
22693;2686;1;1
2695;2686;0;1
108863;2686;1;0
2698;2686;1;1
2705;2686;1;1
80349;2686;0;1
2697;2686;1;0
60719;2686;0;1
12948;2687;1;0
2693;2687;1;0
78976;2687;1;0
22692;2687;0;1
54381;2687;1;0
57200;2687;1;0
2684;2687;0;1
60797;2687;0;1
69278;2687;1;1
82263;2687;0;1
12925;2687;1;0
85782;2688;1;1
2682;2688;1;0
92805;2688;1;1
22695;2688;0;1
62161;2690;1;0
12930;2690;1;0
22692;2690;1;0
54384;2690;0;1
12935;2690;0;1
2698;2691;1;0
22695;2691;1;1
22693;2691;0;1
69278;2693;1;0
54381;2693;1;0
78976;2693;1;0
2686;2693;1;0
2687;2693;1;0
57200;2693;1;0
12948;2693;1;0
22692;2693;1;0
12951;2694;1;0
54388;2694;1;0
8924;2694;1;0
82263;2694;1;0
2686;2695;0;1
22693;2695;0;1
12932;2695;0;1
69531;2695;0;1
12931;2695;0;1
2705;2695;0;1
85423;2695;1;0
12922;2695;1;0
12924;2695;0;1
12925;2695;0;1
2698;2695;0;1
80349;2695;0;1
22695;2697;1;0
2703;2697;0;1
12933;2697;0;1
80349;2697;0;1
2686;2697;1;0
80349;2698;0;1
69531;2698;1;1
62161;2698;1;0
9542;2698;0;1
2705;2698;1;1
12938;2698;1;0
12943;2698;1;0
22695;2698;0;1
8924;2698;0;1
12930;2698;1;0
22693;2698;1;1
2691;2698;1;0
2686;2698;1;1
54365;2698;1;0
12924;2698;0;1
2684;2698;1;0
54389;2698;1;0
82263;2698;1;0
12923;2698;1;0
12932;2698;0;1
12925;2698;0;1
58364;2698;1;1
2695;2698;0;1
63112;2698;1;0
2703;2698;1;0
12931;2703;0;1
12933;2703;1;1
2697;2703;0;1
54389;2703;1;0
12938;2703;1;0
108863;2703;0;1
79804;2703;1;0
12930;2703;1;1
2705;2703;1;0
2684;2703;1;0
12923;2703;1;0
12922;2703;0;1
54365;2703;1;0
63112;2703;1;1
73991;2703;0;1
12943;2703;1;0
69531;2703;1;0
40078;2703;1;0
62161;2703;1;0
2698;2703;1;0
22692;2703;0;1
63112;2705;1;1
80349;2705;0;1
2698;2705;1;1
69531;2705;1;1
12932;2705;0;1
12931;2705;0;1
2686;2705;1;1
54389;2705;1;0
58364;2705;0;1
12924;2705;0;1
54365;2705;1;0
82263;2705;1;1
12925;2705;0;1
62161;2705;1;0
22693;2705;1;1
12930;2705;1;1
12943;2705;1;0
2695;2705;0;1
2684;2705;1;0
12938;2705;1;0
2703;2705;1;0
12923;2705;1;0
12933;2705;0;1
42894;4549;0;1
42870;4549;0;1
39072;4549;1;0
39055;8290;1;1
39058;8290;1;1
39071;8290;1;1
39063;8290;1;0
39074;8291;1;0
39062;8291;1;0
39075;8291;0;1
39068;8293;1;1
39045;8293;1;1
39063;8293;1;0
39057;8293;0;1
58541;8294;0;1
39047;8294;1;1
82083;8294;1;1
54377;8294;0;1
81867;8294;0;1
39060;8294;1;0
39048;8294;1;1
81867;8295;0;1
12948;8295;1;0
12925;8295;1;0
40069;8295;1;0
39070;8295;1;1
39065;8295;0;1
54368;8295;0;1
54391;8295;1;0
12936;8295;1;1
40071;8295;1;0
40085;8295;1;0
2682;8295;1;0
58541;8295;0;1
12945;8295;1;0
12937;8295;0;1
8909;8295;1;0
12939;8295;1;0
54372;8295;1;1
57200;8295;0;1
69531;8295;1;0
54392;8295;1;0
54376;8295;1;0
54370;8295;1;0
54394;8295;1;0
12931;8908;1;1
111483;8908;0;1
8914;8908;1;1
40062;8908;1;1
8912;8908;1;1
8910;8908;1;1
12929;8908;0;1
40074;8908;1;1
9781;8908;1;1
60797;8908;1;0
62161;8908;0;1
40086;8908;1;0
59662;8908;1;0
43126;8908;1;1
12930;8908;0;1
43123;8908;1;0
71126;8908;1;0
12925;8908;1;0
71889;8908;0;1
40071;8909;1;1
40065;8909;1;1
54376;8909;0;1
71132;8909;1;1
40066;8909;1;1
8916;8909;1;0
40064;8909;1;1
82823;8909;0;1
9780;8909;1;0
40080;8909;1;1
40072;8909;1;1
8295;8909;1;0
40069;8909;1;1
54379;8909;0;1
54372;8909;1;1
54370;8909;1;0
40085;8909;1;0
40074;8909;1;0
40068;8909;1;0
8914;8909;1;0
8908;8910;1;1
8923;8910;1;1
40068;8910;0;1
40062;8910;1;1
54384;8910;0;1
8914;8910;1;1
79804;8910;1;1
62161;8910;0;1
59662;8910;1;1
40078;8910;0;1
12934;8910;0;1
73991;8910;0;1
8922;8910;0;1
111483;8910;0;1
40086;8910;1;1
20522;8910;0;1
8912;8910;1;1
12931;8910;0;1
40074;8910;1;1
40069;8912;0;1
8914;8912;1;1
8924;8912;1;1
58429;8912;1;1
79664;8912;1;1
12951;8912;1;0
8910;8912;1;1
71889;8912;1;1
8917;8912;1;1
40062;8912;1;1
40083;8912;0;1
40073;8912;0;1
40074;8912;1;1
8908;8912;1;1
12937;8912;0;1
12930;8912;0;1
62161;8912;0;1
60797;8913;0;1
40079;8913;0;1
40074;8913;0;1
8914;8913;0;1
40066;8913;0;1
40059;8913;0;1
9780;8914;1;0
12931;8914;1;0
12929;8914;0;1
8912;8914;1;1
9781;8914;1;0
43127;8914;1;0
8916;8914;1;1
68096;8914;1;0
40070;8914;1;0
62161;8914;0;1
8910;8914;1;1
111483;8914;0;1
40074;8914;1;1
40062;8914;1;1
8908;8914;1;1
40068;8914;1;0
40066;8914;1;1
60797;8914;0;1
40079;8914;1;0
8913;8914;0;1
43126;8914;1;0
9777;8914;0;1
71132;8914;1;0
8909;8914;1;0
40079;8916;1;0
40074;8916;1;0
40066;8916;1;1
12931;8916;1;0
40080;8916;1;0
9781;8916;1;0
8909;8916;1;0
40065;8916;1;0
40071;8916;1;0
9780;8916;1;0
8914;8916;1;1
43127;8916;1;0
71132;8916;1;0
40083;8917;1;1
79804;8917;1;0
71889;8917;0;1
12934;8917;0;1
40068;8917;0;1
9781;8917;0;1
40062;8917;1;0
12923;8917;1;1
8922;8917;0;1
8912;8917;1;1
73991;8917;0;1
62161;8922;1;1
12923;8922;1;1
40068;8922;0;1
70411;8922;1;1
12934;8922;1;1
59662;8922;0;1
8924;8922;1;0
8923;8922;1;1
40083;8922;1;1
68096;8922;0;1
40063;8922;1;0
8917;8922;0;1
73991;8922;0;1
12930;8922;1;1
79664;8922;1;1
8910;8922;0;1
40070;8922;0;1
40086;8922;0;1
71889;8922;0;1
54384;8922;0;1
