id;coord;core;gender
60719;0;0;0
12932;0;1;0
12936;0;0;0
54376;0;0;0
12925;0;1;0
8295;0;0;0
2688;0;1;0
69531;0;1;0
12924;0;0;1
54392;0;0;1
12939;0;0;0
12937;0;0;0
54391;0;1;0
12948;0;1;0
69278;0;1;0
54389;0;1;0
12938;0;1;0
2705;0;0;1
2698;0;1;0
22692;0;1;0
12943;0;1;0
54365;0;0;1
12930;0;0;0
63112;0;1;0
54393;0;1;0
62161;0;1;0
12923;0;1;0
2703;0;1;0
12933;0;1;1
2687;0;1;0
2695;0;1;0
80349;0;1;1
2693;0;1;0
70492;0;1;0
83349;0;0;0
22693;0;1;0
108863;0;1;0
22695;0;1;0
58364;0;1;0
116508;0;0;0
73991;0;1;0
2697;0;1;0
12934;0;1;0
82263;0;1;1
57200;0;0;0
78976;0;1;0
54381;0;0;1
2684;0;1;0
60797;0;1;0
85782;0;1;0
2682;0;1;0
92805;0;1;0
54384;0;1;0
12935;0;1;1
2686;0;1;0
8924;0;1;1
12951;0;1;0
54388;0;1;1
85423;0;1;0
12922;0;1;0
12931;0;1;1
9542;0;1;1
2691;0;1;0
79804;0;1;0
40078;0;1;1
8910;0;1;0
42870;0;1;0
42894;0;1;0
39072;0;1;0
39064;0;0;0
39063;0;1;1
39055;0;1;0
39054;0;0;0
39071;0;0;1
39058;0;1;0
39074;0;0;0
39062;0;0;0
39075;0;1;1
39061;0;1;0
39045;0;1;0
39068;0;1;0
39057;0;1;0
58541;0;1;0
39070;0;1;0
82083;0;0;0
54377;0;1;1
81867;0;0;0
39048;0;0;1
39047;0;0;0
40069;0;1;0
39060;0;1;0
54394;0;0;0
8294;0;1;0
39065;0;1;1
54370;0;0;0
8909;0;1;0
54368;0;0;0
40071;0;1;0
54372;0;1;0
12945;0;0;1
40085;0;1;0
8914;0;1;0
40074;0;1;0
8912;0;1;0
59662;0;1;1
9781;0;0;
40086;0;1;0
12929;0;0;1
43126;0;0;0
43123;0;0;0
111483;0;0;0
71126;0;1;0
40062;0;1;0
71889;0;1;0
40065;0;1;1
40066;0;1;0
8916;0;1;1
54379;0;0;1
71132;0;1;0
40068;0;1;0
9780;0;0;0
40072;0;1;0
82823;0;1;0
40064;0;1;0
40080;0;1;0
8922;0;1;1
8908;0;1;1
8923;0;1;1
20522;0;1;1
58429;0;0;1
8917;0;1;0
40083;0;0;1
79664;0;1;0
40073;0;1;0
40079;0;1;1
40059;0;1;1
40070;0;1;1
43127;0;0;0
68096;0;1;1
8913;0;1;0
9777;0;0;0
70411;0;1;1
40063;0;0;1
12921;0;1;1
2694;0;1;0
42887;0;1;1
42878;0;0;0
42875;0;1;0
42893;0;0;0
42865;0;1;0
9541;0;1;0
42874;0;1;0
83580;0;1;0
42897;0;0;0
42895;0;1;0
42866;0;0;1
68223;0;1;1
42879;0;1;0
83578;0;1;0
9538;0;1;
70430;0;0;1
42886;0;1;0
9539;0;1;1
42884;0;1;1
9537;0;1;1
42888;0;1;1
42885;0;1;1
42868;0;1;1
63462;0;0;1
69637;0;0;0
9533;0;0;1
9532;0;1;1
9535;0;1;0
72308;0;1;0
42873;0;1;1
43121;0;0;1
9779;0;0;0
54386;0;1;0
12946;0;1;1
54364;0;1;1
54390;0;1;0
12926;0;1;0
82797;0;0;0
73834;0;0;1
12928;0;0;0
54378;0;0;0
2690;0;1;0
54382;0;0;1
54380;0;0;1
71025;0;0;1
54371;0;1;1
54385;0;1;0
12941;0;1;0
42882;0;0;0
12940;0;0;1
42891;0;0;1
42877;0;1;0
42872;0;1;0
39050;0;1;1
39052;0;1;0
8293;0;0;0
39051;0;1;1
42876;0;0;1
39077;0;0;0
39053;0;1;0
59063;0;0;0
39066;0;1;0
39069;0;1;0
39056;0;1;0
39078;0;1;0
36110;0;0;0
82164;0;0;1
8290;0;0;1
84346;0;1;1
39049;0;1;1
39073;0;0;1
39067;0;1;0
8291;0;1;0
42871;0;1;0
42881;0;1;1
39079;0;1;1
42890;0;0;0
4549;0;1;0
39046;0;1;1
40081;0;0;0
55441;0;0;0
84786;0;0;1
81356;0;0;1
61131;0;0;1
40082;0;0;1
40067;0;1;1
40084;0;1;1
43120;0;0;0
40060;0;0;0
42889;0;1;1
42901;0;1;0
42883;0;0;0
9536;0;1;0
42892;0;0;0
42898;0;0;0
42896;0;0;0
43124;0;0;1
43122;0;0;0
43125;0;0;1
43119;0;0;1
54387;0;1;0
72190;0;0;1
54367;0;1;1
78542;0;1;1
79486;0;0;1
54755;0;0;1
67061;0;0;0
